iter	Passed	Remaining
719	1496	582
720	1498	579
721	1499	577
722	1501	575
723	1503	573
724	1504	570
725	1506	568
726	1508	566
727	1510	564
728	1511	562
729	1513	559
730	1515	557
731	1517	555
732	1519	553
733	1520	551
734	1522	548
735	1524	546
736	1526	544
737	1527	542
738	1545	545
739	1548	543
740	1550	541
741	1551	539
742	1553	537
743	1555	535
744	1557	533
745	1562	531
746	1563	529
747	1566	527
748	1568	525
749	1569	523
750	1571	521
751	1573	518
752	1574	516
753	1576	514
754	1578	512
755	1579	509
756	1581	507
757	1583	505
758	1585	503
759	1587	501
760	1589	499
761	1591	497
762	1592	494
763	1594	492
764	1596	490
765	1598	488
766	1601	486
767	1603	484
768	1605	482
769	1607	480
770	1610	478
771	1615	477
772	1617	475
773	1619	472
774	1621	470
775	1623	468
776	1625	466
777	1627	464
778	1628	462
779	1630	459
780	1632	457
781	1633	455
782	1634	453
783	1636	450
784	1637	448
785	1638	446
786	1639	443
787	1641	441
788	1642	439
789	1643	436
790	1645	434
791	1646	432
792	1648	430
793	1650	428
794	1651	425
795	1653	423
796	1654	421
797	1656	419
798	1657	417
799	1659	414
800	1660	412
801	1662	410
802	1664	408
803	1666	406
804	1667	404
805	1672	402
806	1674	400
807	1675	398
808	1677	396
809	1679	393
810	1680	391
811	1682	389
812	1684	387
813	1685	385
814	1687	382
815	1689	380
816	1692	379
817	1694	377
818	1723	380
819	1726	379
820	1729	376
821	1731	374
822	1733	372
823	1735	370
824	1737	368
825	1740	366
826	1743	364
827	1745	362
828	1747	360
829	1749	358
830	1750	356
831	1752	353
832	1754	351
833	1756	349
834	1758	347
835	1760	345
836	1762	343
837	1764	341
838	1766	338
839	1767	336
840	1769	334
841	1771	332
842	1773	330
843	1775	328
844	1777	326
845	1780	324
846	1782	322
847	1785	319
848	1787	317
849	1789	315
850	1806	316
851	1808	314
852	1810	311
853	1811	309
854	1813	307
855	1815	305
856	1817	303
857	1818	301
858	1820	298
859	1821	296
860	1823	294
861	1824	292
862	1826	289
863	1828	287
864	1829	285
865	1831	283
866	1832	281
867	1834	278
868	1835	276
869	1837	274
870	1839	272
871	1840	270
872	1843	268
873	1844	265
874	1846	263
875	1848	261
876	1850	259
877	1851	257
878	1853	255
879	1854	252
880	1856	250
881	1857	248
882	1859	246
883	1860	244
884	1862	241
885	1863	239
886	1864	237
887	1866	235
888	1867	233
889	1869	231
890	1871	228
891	1872	226
892	1873	224
893	1875	222
894	1876	220
895	1878	218
896	1880	215
897	1883	213
898	1885	211
899	1886	209
900	1888	207
901	1889	205
902	1891	203
903	1892	200
904	1893	198
905	1894	196
906	1895	194
907	1897	192
908	1898	190
909	1899	187
910	1900	185
911	1901	183
912	1902	181
913	1904	179
914	1905	176
915	1906	174
916	1907	172
917	1908	170
918	1909	168
919	1910	166
920	1911	163
921	1912	161
922	1914	159
923	1915	157
924	1916	155
925	1917	153
926	1918	151
927	1919	148
928	1920	146
929	1922	144
930	1923	142
931	1925	140
932	1926	138
933	1928	136
934	1929	134
935	1931	132
936	1932	129
937	1933	127
938	1935	125
939	1936	123
940	1938	121
941	1940	119
942	1942	117
943	1943	115
944	1946	113
945	1948	111
946	1949	109
947	1951	107
948	1978	106
949	1980	104
950	1982	102
951	1984	100
952	1986	97
953	1988	95
954	1989	93
955	1991	91
956	1993	89
957	1995	87
958	1997	85
959	1998	83
960	2000	81
961	2002	79
962	2006	77
963	2007	74
964	2009	72
965	2011	70
966	2012	68
967	2014	66
968	2016	64
969	2017	62
970	2019	60
971	2021	58
972	2022	56
973	2024	54
974	2026	51
975	2027	49
976	2029	47
977	2030	45
978	2032	43
979	2033	41
980	2035	39
981	2037	37
982	2039	35
983	2040	33
984	2042	31
985	2043	29
986	2044	26
987	2046	24
988	2047	22
989	2048	20
990	2049	18
991	2051	16
992	2052	14
993	2054	12
994	2055	10
995	2057	8
996	2058	6
997	2060	4
998	2062	2
999	2063	0
